"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary: Automobiles & Components",1.89146907458825,0.815402323959637,3.35727478679961,3.18571701061823,1.62837860058245,2.14089593168682,-2.12914889432717,-6.66176138858354,-2.72875639513472,-1.90063217457402,0.391879493047462,-1.17582755156155,4.56527584178736,7.2268931527,4.88271875793806,2.77758844068574,3.25142837102677,4.02351239349059,-30.4011309502556,2.40270403319122,7.14954403979373,6.60843146419864,7.05708955493063,10.1365670924563,7.95994874846501,5.89226009254043,NA
"2","Consumer Discretionary: Consumer Durables & Apparel",-2.59731989214531,-3.66547030211375,2.4156988339596,-3.04372671414864,-1.06551602478483,3.79460746068942,5.31703474569246,3.7642623191428,3.26496886506186,15.5257907710267,3.90534165298208,5.98396163945947,5.61238461939101,5.78555296554928,5.0055857707495,6.55152312755715,4.55162387102022,7.33559778106251,2.34467592268609,1.72700163484504,3.01987798090212,3.88945148682509,0.878619734774912,-11.8661466640453,-2.89634737736443,1.1727736719332,-5.88538567144128
"3","Consumer Discretionary: Consumer Services",-0.393526691599165,-0.111967777326901,4.81911323878126,1.80872002592939,3.657201911566,6.77176249276106,7.86649990572481,7.90815657416915,4.43794722828086,10.5281523500687,6.8237905802166,7.81156914794842,8.11290815126023,5.1003613566273,8.98992484637119,6.71094912242634,9.2466879632916,13.7956988336301,16.5697594806746,-1.2241943111698,4.79287069759184,7.29987992445538,6.50759142187328,5.84028905352062,5.21834261348902,4.19160285071497,6.52905624682941
"4","Consumer Discretionary: Media",0.567005547614929,-1.17472350393065,1.81455254946902,3.65618727309975,5.02057091909674,4.34642114095309,3.35228005062285,2.29943285349373,3.71627745278276,2.45267358661647,3.19686446665453,-0.85234606521293,-11.9582178414993,3.32666649010774,4.23200266690373,4.56470504586922,4.64164294089672,6.16852722599224,12.6612034515182,-4.26314692389804,5.12872684934654,3.87073669415145,-1.51727378312576,8.41300101852659,2.03962966670468,-6.37211371888567,NA
"5","Consumer Discretionary: Retailing",1.78811980247698,2.35781442948025,-2.7051880504177,-2.45276155222853,0.545368053257394,5.46859032957175,4.73911019201899,3.48509115802291,5.63902106964335,5.00349907087139,3.09138772173331,3.35168803515259,4.3747553350352,3.85621827707854,5.20767194157759,4.64669496667393,5.85391883499325,12.8221366682855,7.1386108354383,3.64540869779915,6.84350076273107,5.63007299876974,3.54791861481733,6.61625575273718,3.47806468413146,3.79549316150249,4.36456240388457
"6","Consumer Staples: Food & Staples Retailing",6.68886372001356,6.10040608076438,5.60913152054358,6.83158080627431,6.10871513704473,6.52530562856056,4.49998354316005,3.81765447510764,5.0189447283341,5.38861653275093,4.88976064672608,4.64329030736218,5.85381759149545,6.86885954191425,8.31724554107595,6.80636565375083,8.54188621089643,6.50448209891408,4.65662755130742,5.17437121986606,5.90337606920954,6.56188768783725,5.93937737009957,6.8101263356114,7.80295742577852,6.03453617170909,6.51712911800723
"7","Consumer Staples: Food, Beverage & Tobacco",1.53823067775348,6.68675518436273,7.09398094424578,5.60515676105519,7.73016686579104,8.33401210904959,9.15230888975461,7.5790347467445,6.92979233968119,10.0446279343501,9.04548717330249,8.95700641252216,10.8873233802227,7.79201929736628,7.94847158504149,8.84465748963178,10.6547826095034,6.01784962720756,1.11186948751893,0.09921882456149,0.95075061884832,1.86028541100926,1.88423827985352,-0.659564072926747,0.0295458061863741,3.61410650740275,3.72136063588378
"8","Consumer Staples: Household & Personal Products",3.7999006128872,6.65718717683557,11.4034223404605,9.83982959417965,7.60346487006737,7.88107155578052,7.95308242997816,12.1839347998895,11.1695936502145,7.38605781530441,7.80489489615738,12.1242108199827,10.2207758495153,8.25048767697955,10.3713146603788,12.5573918313764,9.89432028224055,6.0870730156536,9.56138095147105,10.1019657141855,10.5759811924509,8.79531587731539,-10.452696672805,2.18971454598315,2.74775723074931,8.66954977782753,NA
"9","Energy",3.31595139025242,0.182098588369876,1.53125695726693,4.36844606697702,4.06096404471056,2.65102677404423,4.9113089775326,1.74516852580725,1.92593398658685,2.02226988053283,6.26898245872361,4.35996226498348,1.98546664896514,5.5409807626938,9.33988701273267,10.8800920686361,8.14522927734157,4.89250936642467,8.53270035619633,13.8612993679504,3.78459937544769,1.85671545145311,3.13716052156892,1.25421291364321,0.522320687580029,-4.60327371348127,3.60569206451339
"10","Financials: Banks",0.552861966291362,0.604650258424621,-0.203650798302175,0.471040107659534,0.933744438741162,1.04693794827772,1.00838059135812,0.932174610084951,0.797803406984837,0.999144609771401,1.01674114137206,0.831706447857474,1.02258090564843,0.967387817397676,0.946318889574417,1.11997622539731,1.04797144748067,0.986543471419763,0.655490309844931,0.583398652834295,0.829243511914169,0.885387212559369,0.797240090101946,0.875543674336632,0.890264179894955,0.875687257206051,NA
"11","Financials: Diversified Financials",6.01068876403981,-3.19058630874323,1.10458706740662,1.69348048886516,4.05605309026971,4.15624324954791,23.0319385569083,3.82968293099984,2.16810021232848,0.151924174581932,0.59938726813742,-0.538286256906556,-0.432629818066095,-4.17405902559862,1.33595905915331,2.08976451795216,1.550260359047,1.70589051305567,0.979382264143003,-0.446847142549685,1.45557910493273,1.21780550849641,0.979002163371961,1.26127983856643,1.58816666978953,1.09020707008371,0.886772895912835
