ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
AAG,Aragon Resources Limited,Delisted,Materials,Materials,Metals & Mining
AAI,Alcoa Inc.,Trading,Materials,Materials,Metals & Mining
AAJ,Aruma Resources Limited,Trading,Materials,Materials,Metals & Mining
AAR,Anglo Australian Resources NL,Trading,Materials,Materials,Metals & Mining
ABC,Adelaide Brighton Limited,Trading,Materials,Materials,Construction Materials
ABU,ABM Resources NL,Trading,Materials,Materials,Metals & Mining
ABX,Australian Bauxite Limited,Trading,Materials,Materials,Metals & Mining
ABX2,Abelle Limited,Delisted,Materials,Materials,Metals & Mining
ABY,Aditya Birla Minerals Limited,Delisted,Materials,Materials,Metals & Mining
ACP,Audalia Resources Limited,Trading,Materials,Materials,Metals & Mining
ACS,Accent Resources N.L.,Trading,Materials,Materials,Metals & Mining
ADN,Adelaide Resources Limited,Trading,Materials,Materials,Metals & Mining
ADU,Adamus Resources Limited,Delisted,Materials,Materials,Metals & Mining
ADV,Ardiden Limited,Trading,Materials,Materials,Metals & Mining
ADY,Admiralty Resources NL,Trading,Materials,Materials,Metals & Mining
AEC,Ammtec Limited,Delisted,Materials,Materials,Metals & Mining
AEV,Avenira Limited,Trading,Materials,Materials,Metals & Mining
AGB,Atlantic Gold Corporation,Delisted,Materials,Materials,Metals & Mining
AGC,Agincourt Resources Limited,Delisted,Materials,Materials,Metals & Mining
AGD,Austral Gold Limited,Trading,Materials,Materials,Metals & Mining
AGG,AngloGold Ashanti Limited,Trading,Materials,Materials,Metals & Mining
AGM,Allegiance Mining NL,Delisted,Materials,Materials,Metals & Mining
AGN,Australian Gemstone House Limited,Withdrawn Float,Materials,Materials,Metals & Mining
AGO,Atlas Iron Limited,Trading,Materials,Materials,Metals & Mining
AGR,Aguia Resources Limited,Trading,Materials,Materials,Metals & Mining
AGR1,Australian Gold Resources Limited ,Delisted,Materials,Materials,Metals & Mining
AGS,Alliance Resources Limited,Trading,Materials,Materials,Metals & Mining
AGU,Aurium Resources Limited,Delisted,Materials,Materials,Metals & Mining
AGY,Argosy Minerals Limited,Trading,Materials,Materials,Metals & Mining
AGZ,A.G.D. Mining Limited,Delisted,Materials,Materials,Metals & Mining
