ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
88E,88 Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AAL,APAC Coal Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
ABL,Abilene Oil and Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ACB,A-Cap Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ACN,Acer Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ADD,Adavale Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ADE,Adelaide Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ADI,Adelphi Energy Limited,Delisted,Energy,Energy,Energy Equipment & Services
ADX,ADX Energy Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AEB,Algae.Tec Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AED,AED Oil Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AEE,Aura Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AEK,Anatolia Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AEL,Antaeus Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AFQ,African Petroleum Corporation Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AFR,African Energy Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AGE,Alligator Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AGP,Anglo Pacific Group Plc,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AHM,Alpha Uranium Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
AHQ,Allegiance Coal Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AJC,Acacia Coal Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AJQ,Armour Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AKK,Austin Exploration Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AME,Alto Metals Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AOE,Arrow Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AOG1,Australian Oil And Gas Corporation Ltd,Delisted,Energy,Energy,Energy Equipment & Services
AOK,Austex Oil Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AOW,American Patriot Oil & Gas Limited ,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
APY,Azonto Petroleum Ltd ,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AQJ,Aus Asia Minerals Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
AQO,Ambassador Oil and Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AQX,Alice Queen Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ARQ,Arc Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ARW,Australian Renewable Fuels Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
ASY,AssembleBay Limited,Trading,Energy,Energy,Energy Equipment & Services
ATS,Australis Oil and Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AUG,Augend Ltd,Suspended,Energy,Energy,Energy Equipment & Services
AUT,Aurora Oil & Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AVD,Antilles Oil and Gas NL,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AWE,AWE Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
AWR,Altus Renewables Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
AXB,Axiom Energy Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
AZA,Anzon Australia Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AZO,Apollo Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AZT,Aston Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
AZZ,Antares Energy Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
BAS,Bass Strait Oil Company Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BCC,Buccaneer Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BGG,Blackgold International Holdings Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BKF,Backreef Resources Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
BKP,Baraka Energy & Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BKY,Berkeley Energia Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BLR,Black Range Minerals Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BLZ,Blaze International Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BMN,Bannerman Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BND,Bandanna Energy Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
BNT,Bounty Mining Ltd,Delisted,Energy,Energy,Energy Equipment & Services
BOW,Bow Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BPT,Beach Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BRK,Brookside Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BRK1,BreakFree Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BRU,Buru Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BSO,Bass Strait Oil Trust,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BSP,Black Star Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BUL,Blue Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BUY,Bounty Oil & Gas NL,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
BWN,Bowen Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
BYE,Byron Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CBQ,Coalbank Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CCC,Continental Coal Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
CCD,Caledon Resources PLC,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CCJ,County International Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CEL,Challenger Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CEY,Centennial Coal Company Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CHL,CCI Holdings Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CHX,CH4 Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CLR,Carabella Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CMK,Cumnock Coal Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CMT,Cott Oil and Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CNA,Coal & Allied Industries Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CNX,Carbon Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
COE,Cooper Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
COI,Comet Ridge Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
COK,Cockatoo Coal Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
CPL,Coalspur Mines Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CPN,Carpathian Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CQC,Cuesta Coal Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CR8,Cre8tek Limited,Suspended,Energy,Energy,Energy Equipment & Services
CRM,Carbon Minerals Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CTP,Central Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CTR,Citation Resources Ltd,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
CTX,Caltex Australia Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CUE,Cue Energy Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CUY,Curnamona Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CVI,CVI Energy Corporation Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CVN,Carnarvon Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CWK,Coalworks Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CXR,Coplex Resources NL,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
CXU,Cauldron Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
CZA,Coal Of Africa Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
DAF,Discovery Africa Limited ,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
DLS,Drillsearch Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
DLT,Deltana Energy Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
DTE,Dart Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
DYL,Deep Yellow Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EDE,Eden Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EEG,Empire Energy Group Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EEN,European Energy Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
EER,East Energy Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EGO,Empire Oil & Gas NL,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EKA,Eureka Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ELK,ELK Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EME,Energy Metals Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EMR,Emerald Resources NL,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EMX,Energia Minerals Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ENX,Enegex Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EOC,Endocoal Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
EOR,Enhanced Oil & Gas Recovery Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EPM,Eclipse Metals Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ERA,Energy Resources of Australia Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ESG,Eastern Star Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ETE,Entek Energy Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EVE,EVE Investments Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EXL,Excel Coal Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
EXR,Elixir Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
EXT,Extract Resources Ltd,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
FAR,Far Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
FLX,Felix Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
FSE,Firestone Energy Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
FTE,Forte Energy NL,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
FZR,Fitzroy River Corporation Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GBP,Global Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GBX,GB Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GCL,Gloucester Coal Ltd,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
GGE,Grand Gulf Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GGL,The Gruden Group Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GGX,Gas2Grid Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GLL,Galilee Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GOG,Great Artesian Oil & Gas Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
GOP,Gippsland Offshore Petroleum Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
GPP,Greenpower Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
GRV,Greenvale Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
HDI,Handini Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
HDR,Hardman Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
HMR,Hindmarsh Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
HOG,Hawkley Oil and Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
HPR,High Peak Royalties Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
HUN,Hunnu Coal Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
HZN,Horizon Oil Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ICN,Icon Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
ICZ,Indus Coal Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
IEC,Intra Energy Corporation Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
IKW,Ikwezi Minings Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
IND,Indus Energy NL,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
INK,Indago Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
IOC,InterOil Corporation,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
IOG,Incremental Oil and Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
IPB,IPB Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
IPM,Incremental Petroleum Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ITC,Impress Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
ITR,Interra Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
JAT,Jatenergy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
JKA,Jacka Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
JPR,Jupiter Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
KAR,Karoon Gas Australia Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
KEY,Key Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
KIK,Kairiki Energy Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
KKO,Kinetiko Energy Limited,Suspended,Energy,Energy,"Oil, Gas & Consumable Fuels"
KLR,Kaili Resources Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
KPL,Kina Petroleum Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
KTO,K2 Energy Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
LAM,Laramide Resources Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
LDM,Land and Mineral Exploration Limited ,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
LGO,Longreach Oil Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
LHD,Lochard Energy Group plc,Delisted,Energy,Energy,Energy Equipment & Services
LIO,Lion Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
LKO,Lakes Oil NL,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
LME,L&M Energy Limited,Delisted,Energy,Energy,Energy Equipment & Services
LMR,Lemur Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
LNC,Linc Energy Ltd,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
LNG,Liquefied Natural Gas Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
LNR,Lonestar Resources Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
LWP,LWP Technologies Limited,Trading,Energy,Energy,Energy Equipment & Services
MAC,Macro Corporation Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
MAD,Maverick Drilling and Exploration Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MAG,Magellan Petroleum Australia Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
MBC,Malabar Coal Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MBC1,Mobile Communications Holdings Limited ,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
MBQ,Maryborough Coal Limited,Withdrawn Float,Energy,Energy,"Oil, Gas & Consumable Fuels"
MBT,Mission NewEnergy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MCE,Matrix Composites & Engineering Limited,Trading,Energy,Energy,Energy Equipment & Services
MEL,Metgasco Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MEO,MEO Australia Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MEU,Marmota Energy Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MEY,Marenica Energy Ltd,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MGN,Magellan Petroleum Corporation,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
MHC,Manhattan Corporation Limited,Trading,Energy,Energy,"Oil, Gas & Consumable Fuels"
MIO,Miclyn Express Offshore Limited,Delisted,Energy,Energy,"Oil, Gas & Consumable Fuels"
