ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
3DP,Pointerra Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
A2M,The a2 Milk Company Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AAC,Australian Agricultural Company Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AAP,Australian Agricultural Projects Limited,Trading,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
ABB,ABB Grain Limited,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
ABT,Abundant Produce Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AFF,Australian Food & Fibre Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AHF,Australian Dairy Farms Group,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AHY,Asaleo Care Limited,Trading,Consumer Staples,Household & Personal Products,Personal Products
AVF,Australian Value Funds Management Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AVG,Australian Vintage Ltd,Trading,Consumer Staples,"Food, Beverage & Tobacco",Beverages
AWB,AWB Limited,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
AWY,Australian Whiskey Holdings Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
AXG,Altria Group Inc.,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Tobacco
AYB,Australian Natural Proteins Limited,Suspended,Consumer Staples,"Food, Beverage & Tobacco",Food Products
BAL,Bellamy's Australia Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
BGA,Bega Cheese Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
BHL,Bidvest Plc,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
BKL,Blackmores Limited,Trading,Consumer Staples,Household & Personal Products,Personal Products
BNV,Brand New Vintage Limited,Suspended,Consumer Staples,"Food, Beverage & Tobacco",Beverages
BPC,"Burns, Philp and Company Limited",Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
BRL1,BRL Hardy Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
BUG,Buderim Group Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
BWX,BWX Limited,Trading,Consumer Staples,Household & Personal Products,Personal Products
CBR,Constellation Brands Inc.,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CCB,Coca-Cola Beverages Plc.,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CCL,Coca-Cola Amatil Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CDC,China Dairy Corporation Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CEW,Cranswick Premium Wines Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CGC,Costa Group Holdings Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CGJ,Coles Group Limited,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
CGR1,Cascade Group Limited ,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CHB,Coca-Cola Hellenic Bottling Company S.A.,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CHQ,Costaexchange Ltd,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CJG,China JXY Group Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
CMT1,Clements Marshall Consolidated Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CSS,Clean Seas Tuna Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CVS,Cervantes Corporation Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
CZZ,Capilano Honey Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
DFM,Dongfang Modern Agriculture Holding Group Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
EAC,East African Coffee Plantations Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
EEI,Earth Essence International Limited,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
ELD,Elders Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
EPA,Ephraim Resources Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
FFI,FFI Holdings Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
FGL,Foster's Group Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Beverages
FLR,Frankland River Olive Company Limited,Delisted,Consumer Staples,"Food, Beverage & Tobacco",Food Products
FNP,Freedom Foods Group Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
FOA,Foodland Associated Limited,Delisted,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing
FOD,The Food Revolution Group Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
FRM,Farm Pride Foods Limited,Trading,Consumer Staples,"Food, Beverage & Tobacco",Food Products
