ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
8EC,8IP Emerging Companies Limited,Trading,Financials,Diversified Financials,Capital Markets
8IH,8I Holdings Ltd,Trading,Financials,Diversified Financials,Diversified Financial Services
AAB,Absolute Return Fund (The),Delisted,Financials,Diversified Financials,Diversified Financial Services
AAK,Australia China Holdings Limited,Trading,Financials,Real Estate,Real Estate Management & Development
ABA,Auswide Bank Ltd,Trading,Financials,Banks,Banks
ABA1,Advance Bank Australia Limited ,Delisted,Financials,Banks,Banks
ABP,Abacus Property Group,Trading,Financials,Real Estate,Real Estate Investment Trusts (REITs)
ABW,Aurora Absolute Return Fund,Trading,Financials,Diversified Financials,Diversified Financial Services
ACK,Austock Group Limited,Trading,Financials,Insurance,Insurance
ACQ,Acorn Capital Investment Fund Limited ,Trading,Financials,Diversified Financials,Capital Markets
ADB,Adelaide Bank Limited,Delisted,Financials,Banks,Banks
ADP,AMP Diversified Property Trust,Delisted,Financials,Real Estate,Real Estate Investment Trusts (REITs)
ADT,Advent Limited,Delisted,Financials,Diversified Financials,Diversified Financial Services
ADV1,Australian Development Capital Fund,Delisted,Financials,Diversified Financials,Diversified Financial Services
AEF,Australian Ethical Investment Limited,Trading,Financials,Diversified Financials,Capital Markets
AEG,Absolute Equity Performance Fund Limited,Trading,Financials,Diversified Financials,Capital Markets
AEH,Aveo Healthcare Limited,Delisted,Financials,Real Estate,Real Estate Management & Development
AEZ,APN European Retail Property Group,Delisted,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AFA,ASF Group Limited,Trading,Financials,Diversified Financials,Diversified Financial Services
AFG,Australian Finance Group Ltd,Trading,Financials,Banks,Thrifts & Mortgage Finance
AFG1,Allco Finance Group Limited,Delisted,Financials,Banks,Thrifts & Mortgage Finance
AFI,Australian Foundation Investment Company Limited,Trading,Financials,Diversified Financials,Diversified Financial Services
AFU,Australian Emerging Growth Fund (The),Delisted,Financials,Diversified Financials,Diversified Financial Services
AGF,AMP Capital China Growth Fund,Trading,Financials,Diversified Financials,Capital Markets
AGH1,Australian Growth Properties Limited,Delisted,Financials,Real Estate,Real Estate Management & Development
AGJ,Agricultural Land Trust,Trading,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AHC,AHC Limited,Delisted,Financials,Real Estate,Real Estate Management & Development
AHF1,Australian Healthcare Investment Fund,Delisted,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AHI,Allco HIT Limited,Delisted,Financials,Diversified Financials,Diversified Financial Services
AHO,Australian Hotel Fund,Delisted,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AHU,Allco Hybrid Investment Trust,Delisted,Financials,Diversified Financials,Capital Markets
AIB,Aurora Global Income Trust,Trading,Financials,Diversified Financials,Diversified Financial Services
AIK,Armidale Investment Corporation Limited,Trading,Financials,Diversified Financials,Diversified Financial Services
AIP,AMP Industrial Trust,Delisted,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AIQ,Alternative Investment Trust,Trading,Financials,Diversified Financials,Capital Markets
AIY,Authorised Investment Fund Limited,Trading,Financials,Diversified Financials,Diversified Financial Services
AJA,Astro Japan Property Group,Trading,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AJA1,Asia Diversified Fund Limited,Withdrawn Float,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AJD,Asia Pacific Data Centre Group,Trading,Financials,Real Estate,Real Estate Investment Trusts (REITs)
AJO,Armstrong Jones Office Fund,Suspended,Financials,Diversified Financials,Diversified Financial Services
