ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
AAN,Alinta Limited,Delisted,Utilities,Utilities,Gas Utilities
AEJ,Redbank Energy Limited,Suspended,Utilities,Utilities,Independent Power and Renewable Electricity Producers
AEN,Australian Energy Limited,Delisted,Utilities,Utilities,Electric Utilities
AES,Advanced Energy Systems Limited,Delisted,Utilities,Utilities,Electric Utilities
AGL,AGL Energy Limited,Trading,Utilities,Utilities,Multi-Utilities
AGL1,Australian Gas Light Company (The),Delisted,Utilities,Utilities,Multi-Utilities
AIH,Alinta Infrastructure Holdings Limited,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
ALN,Alinta Limited,Delisted,Utilities,Utilities,Gas Utilities
APA,APA Group,Trading,Utilities,Utilities,Gas Utilities
APK,Australian Power and Gas Company Limited,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
AST,AusNet Services,Trading,Utilities,Utilities,Electric Utilities
BBI,Babcock & Brown Infrastructure Group,Delisted,Utilities,Utilities,Multi-Utilities
BDE,Biogen Limited,Withdrawn Float,Utilities,Utilities,Independent Power and Renewable Electricity Producers
CEN,Contact Energy Limited,Trading,Utilities,Utilities,Electric Utilities
CEN1,Contact Energy Limited,Delisted,Utilities,Utilities,Electric Utilities
CIF,Challenger Infrastructure Fund,Delisted,Utilities,Utilities,Multi-Utilities
CWE,Carnegie Wave Energy Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
DUE,DUET Group,Trading,Utilities,Utilities,Multi-Utilities
ENB,Eneabba Gas Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
ENE,Energy Developments Limited,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
ENV,Envestra Limited,Delisted,Utilities,Utilities,Gas Utilities
EPW,ERM Power Limited,Trading,Utilities,Utilities,Electric Utilities
EPX,Ethane Pipeline Income Fund,Delisted,Utilities,Utilities,Gas Utilities
ERJ,Enerji Ltd,Trading,Utilities,Utilities,Electric Utilities
EVM,EnviroMission Limited,Suspended,Utilities,Utilities,Independent Power and Renewable Electricity Producers
EWC,Energy World Corporation Ltd,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
GAS,GasNet Australia Group,Delisted,Utilities,Utilities,Gas Utilities
GDY,Geodynamics Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
GHT,Geothermal Resources Limited,Delisted,Utilities,Utilities,Electric Utilities
GNB,Greenbox Group Limited,Delisted,Utilities,Utilities,Electric Utilities
GNE,Genesis Energy Limited,Trading,Utilities,Utilities,Electric Utilities
GNX,Genex Power Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
GOE,GO energy Group Limited,Suspended,Utilities,Utilities,Independent Power and Renewable Electricity Producers
GPE,Green Pacific Energy Limited,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
HDF,APA Sub Group,Delisted,Utilities,Utilities,Electric Utilities
HRL,HRL Holdings Ltd,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
HRZ,Horizon Energy Investment Group,Delisted,Utilities,Utilities,Electric Utilities
IFN,Infigen Energy,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
IFT,Infratil Limited,Trading,Utilities,Utilities,Electric Utilities
KEN,KUTh Energy Limited,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
KPO,Kalina Power Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
KTE,K2 Energy Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
LPE,Locality Planning Energy Holdings Limited,Trading,Utilities,Utilities,Electric Utilities
MCY,Mercury NZ Limited,Trading,Utilities,Utilities,Electric Utilities
MEZ,Meridian Energy Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
NVE,Novera Energy Limited,Delisted,Utilities,Utilities,Multi-Utilities
PEA,Pacific Energy Limited,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
PHY,Pacific Hydro Limited,Delisted,Utilities,Utilities,Electric Utilities
PIH,Prime Infrastructure Group,Delisted,Utilities,Utilities,Independent Power and Renewable Electricity Producers
PTR,Petratherm Ltd,Trading,Utilities,Utilities,Independent Power and Renewable Electricity Producers
SKI,Spark Infrastructure Group,Trading,Utilities,Utilities,Electric Utilities
TML,Timah Resources Limited,Trading,Utilities,Utilities,Gas Utilities
TSI,Transfield Services Infrastructure Fund,Delisted,Utilities,Utilities,Electric Utilities
UEL,United Energy Limited,Delisted,Utilities,Utilities,Electric Utilities
VIR,Viridis Clean Energy,Delisted,Utilities,Utilities,Multi-Utilities
WRG,Water Resources Group Limited,Trading,Utilities,Utilities,Water Utilities
