ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
1AG,Alterra Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AAX,Ausenco Limited,Trading,Industrials,Capital Goods,Construction & Engineering
ABG,Abigroup Limited,Delisted,Industrials,Capital Goods,Construction & Engineering
ADQ,ADG Global Supply Limited,Suspended,Industrials,Capital Goods,Trading Companies & Distributors
ADZ,Adsteam Marine Limited,Delisted,Industrials,Transportation,Transportation Infrastructure
AEH1,Aerosonde Holdings Limited,Delisted,Industrials,Capital Goods,Aerospace & Defense
AEI,Aeris Environmental Ltd,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AET,Ausmelt Limited,Delisted,Industrials,Capital Goods,Machinery
AFT,AFT Corporation Limited,Trading,Industrials,Capital Goods,Building Products
AHJ,Air Change International Limited,Delisted,Industrials,Capital Goods,Building Products
AIA,Auckland International Airport Limited,Trading,Industrials,Transportation,Transportation Infrastructure
AIO,Asciano Limited,Suspended,Industrials,Transportation,Road & Rail
AIR,Astivita Limited,Trading,Industrials,Capital Goods,Trading Companies & Distributors
AIZ,Air New Zealand Limited,Trading,Industrials,Transportation,Airlines
AJL,AJ Lucas Group Limited,Trading,Industrials,Capital Goods,Construction & Engineering
ALQ,ALS Limited,Trading,Industrials,Commercial & Professional Services,Professional Services
ALS,Alesco Corporation Limited,Delisted,Industrials,Capital Goods,Trading Companies & Distributors
AMB,Ambition Group Limited,Trading,Industrials,Commercial & Professional Services,Professional Services
AMV,Alamain Investments Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
ANG,Austin Engineering Limited,Trading,Industrials,Capital Goods,Machinery
ANQ,AnaeCo Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AQZ,Alliance Aviation Services Limited,Trading,Industrials,Transportation,Airlines
ARA,Ariadne Australia Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
ASB,Austal Limited,Trading,Industrials,Capital Goods,Aerospace & Defense
ASH,Ashley Services Group Limited,Trading,Industrials,Commercial & Professional Services,Professional Services
ASH2,Archean Star Resources Inc.,Withdrawn Float,Industrials,Commercial & Professional Services,Professional Services
ASL,Ausdrill Limited,Trading,Industrials,Capital Goods,Construction & Engineering
AUD,Ausdoc Group Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AWN,Arowana International Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AZG,Allmine Group Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
AZJ,Aurizon Holdings Limited,Trading,Industrials,Transportation,Road & Rail
BAX,Baxter Group Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
BCS,BrisConnections Unit Trusts,Delisted,Industrials,Transportation,Transportation Infrastructure
BDL,Brandrill Limited,Delisted,Industrials,Capital Goods,Construction & Engineering
BEG,Bluenergy Group Limited,Suspended,Industrials,Capital Goods,Construction & Engineering
BEI,Babcock & Brown Environmental Investments Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
BKM,BKM Management Limited,Trading,Industrials,Commercial & Professional Services,Professional Services
BKN,Bradken Limited,Trading,Industrials,Capital Goods,Machinery
BLY,Boart Longyear Limited,Trading,Industrials,Capital Goods,Construction & Engineering
BMH,Baumart Holdings Limited,Trading,Industrials,Capital Goods,Trading Companies & Distributors
BOL,Boom Logistics Limited,Trading,Industrials,Capital Goods,Trading Companies & Distributors
BPK,Bremer Park Limited,Delisted,Industrials,Capital Goods,Building Products
BRS,Broadspectrum Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
BSA,BSA Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
BUE,Bluestone Global Limited,Delisted,Industrials,Commercial & Professional Services,Professional Services
BXB,Brambles Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
BYL,Brierty Limited,Trading,Industrials,Capital Goods,Construction & Engineering
CAB,Cabcharge Australia Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
CAL,CITIC Australia Trading Limited,Delisted,Industrials,Capital Goods,Trading Companies & Distributors
CBC1,China Convergent Corporation Limited,Delisted,Industrials,Capital Goods,Construction & Engineering
CBD,CBD Energy Limited,Delisted,Industrials,Capital Goods,Construction & Engineering
CCP,Credit Corp Group Limited,Trading,Industrials,Commercial & Professional Services,Commercial Services & Supplies
CCW,Carlovers Carwash Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
CDC1,Child Care Centres Australia Limited,Delisted,Industrials,Commercial & Professional Services,Commercial Services & Supplies
CDD,Cardno Limited,Trading,Industrials,Capital Goods,Construction & Engineering
CDX,CDS Technologies Limited,Delisted,Industrials,Capital Goods,Machinery
CEG,CEC Group Limited,Delisted,Industrials,Capital Goods,Construction & Engineering
CEU,ConnectEast Group,Delisted,Industrials,Transportation,Transportation Infrastructure
CFU,Ceramic Fuel Cells Limited,Trading,Industrials,Capital Goods,Electrical Equipment
