ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
1PG,1-Page Limited,Trading,Information Technology,Software & Services,Software
4DS,4DS Memory Limited,Trading,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
8CO,8Common Ltd,Trading,Information Technology,Software & Services,Software
9SP,9 Spokes International Limited,Trading,Information Technology,Software & Services,Internet Software & Services
AAS,Asian Pacific Limited,Delisted,Information Technology,Software & Services,Internet Software & Services
AAT,AAT Corporation Limited,Delisted,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
AB1,Animoca Brands Corporation Limited,Trading,Information Technology,Software & Services,Software
ACU,Activistic Limited,Trading,Information Technology,Software & Services,Software
ACX,Aconex Limited,Trading,Information Technology,Software & Services,Internet Software & Services
AD1,ApplyDirect Limited,Trading,Information Technology,Software & Services,Internet Software & Services
ADA,Adacel Technologies Limited,Trading,Information Technology,Software & Services,Software
ADJ,Adslot Ltd,Trading,Information Technology,Software & Services,Internet Software & Services
AER,Aeeris Ltd,Trading,Information Technology,Software & Services,Internet Software & Services
AFY,Afterpay Holdings Limited,Trading,Information Technology,Software & Services,IT Services
AHL,AHAlife Holdings Limited,Trading,Information Technology,Software & Services,Internet Software & Services
ALU,Altium Limited,Trading,Information Technology,Software & Services,Software
ALW,Alphawest Limited,Delisted,Information Technology,Software & Services,IT Services
AMO,Ambertech Limited,Trading,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
APX,Appen Limited,Trading,Information Technology,Software & Services,IT Services
ASU,Alpha Technologies Corporation Limited,Delisted,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
ASZ,ASG Group Limited,Trading,Information Technology,Software & Services,IT Services
AYG,Axxis Technology Group Ltd,Trading,Information Technology,Software & Services,IT Services
AZU,Azurn International Limited,Delisted,Information Technology,Software & Services,IT Services
BCT,Bluechiip Limited,Trading,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
BHG,Beauty Health Group Limited,Delisted,Information Technology,Software & Services,Internet Software & Services
BIG,Big Un Limited,Trading,Information Technology,Software & Services,Internet Software & Services
BIQ,"BuildingIQ, Inc",Trading,Information Technology,Software & Services,Software
BLG,Bluglass Limited,Trading,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
BMB,Balamara Resources Limited,Delisted,Information Technology,Technology Hardware & Equipment,Communications Equipment
BPF,Bulletproof Group Limited ,Trading,Information Technology,Software & Services,Internet Software & Services
BPS,BPS Technology Limited,Trading,Information Technology,Software & Services,Internet Software & Services
BRN,Brainchip Holdings Ltd,Trading,Information Technology,Software & Services,Software
BUD,Buddy Platform Limited,Trading,Information Technology,Software & Services,Internet Software & Services
BVA,Bravura Solutions Limited,Delisted,Information Technology,Software & Services,Software
BXP,Bill Express Limited,Delisted,Information Technology,Software & Services,Software
CAR,Carsales.com Limited,Trading,Information Technology,Software & Services,Internet Software & Services
CAT,Catapult Group International Limited,Trading,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CAT1,Catuity Inc.,Delisted,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CBK,CB Australia Limited,Delisted,Information Technology,Software & Services,Software
CCA,ChimpChange Limited,Trading,Information Technology,Software & Services,IT Services
CCK,CCK Financial Solutions Limited,Delisted,Information Technology,Software & Services,Software
CDA,Codan Limited,Trading,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CDR,Commander Communications Limited,Delisted,Information Technology,Technology Hardware & Equipment,Communications Equipment
CGL,The Citadel Group Limited,Trading,Information Technology,Software & Services,IT Services
CGO,CPT Global Limited,Trading,Information Technology,Software & Services,IT Services
CL1,Class Limited,Trading,Information Technology,Software & Services,Software
CL8,Collaborate Corporation Limited,Trading,Information Technology,Software & Services,Internet Software & Services
CLA1,Clarity International Limited,Delisted,Information Technology,Software & Services,Software
CLT,Cellnet Group Limited,Trading,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CNW,Cirrus Networks Holdings Limited,Trading,Information Technology,Software & Services,IT Services
COM,Comops Limited,Trading,Information Technology,Software & Services,Software
COO,Corum Group Limited,Trading,Information Technology,Software & Services,Software
CPS,Computronics Holdings Limited,Delisted,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components"
CPU,Computershare Limited,Trading,Information Technology,Software & Services,IT Services
