ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
1ST,1st Available Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Technology
AAH,Arana Therapeutics Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
ACG,AtCor Medical Holdings Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
ACL,Alchemia Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
ACR,Acrux Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
ACW,Actinogen Medical Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
ADO,Anteo Diagnostics Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services
ADR,Adherium Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Technology
AFP,AFT Pharmaceuticals Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
AGX,Agenix Limited,Suspended,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
AHZ,Admedus Ltd,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
AJJ,Asian American Medical Group Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
ALC,Alcidion Group Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Technology
ALT,Analytica Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
AMT,Allegra Orthopaedics Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
ANN,Ansell Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
ANP,Antisense Therapeutics Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
ANR,Anatara Lifesciences Ltd,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
APH,Ascent Pharmahealth Ltd,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
API,Australian Pharmaceutical Industries Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
AVE,Aevum Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Providers & Services
AVH,Avita Medical Ltd,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
AVS,Avastra Sleep Centres Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Providers & Services
AVT,AVT Plasma Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
AVX,Avexa Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
AXN,Axon Instruments Inc.,Delisted,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
AXP,"AirXpanders, Inc.",Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
AYX,Austofix Group Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
AZV,Azure Healthcare Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
BDM,BioDiem Ltd,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
BDV,Broadvector Limited,Withdrawn Float,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BGN,BresaGen Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BIT,Biotron Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BLT,Benitec Biopharma Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BNC,Bioniche Life Sciences Inc,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
BNO,Bionomics Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BOT,Botanix Pharmaceuticals Ltd,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BPH,BPH Energy Ltd,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services
BRC,Brain Resource Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
BTA,Biota Holdings Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
BTH,Beta Pharmaceutical Limited,Withdrawn Float,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
BXN,Bioxyne Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CAJ,Capitol Health Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
CDY,Cellmid Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CGS,Cogstate Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Technology
CLS,CL Asset Holdings Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Providers & Services
CLS2,Cellscreen Direct Limited,Withdrawn Float,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals
CLV,Clover Corporation Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
CMP,Compumedics Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
CMQ,Chemeq Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
COH,Cochlear Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
CSL,CSL Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CST,Cellestis Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CTE,Cryosite Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services
CUV,Clinuvel Pharmaceuticals Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CXD,CathRx Ltd,Delisted,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
CXS,ChemGenex Pharmaceuticals Ltd,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CYC,Cyclopharm Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
CYP,Cynata Therapeutics Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
CYT,Cytopia Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
DNX,DenX Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies
DVC,DCA Group Limited,Delisted,Health Care,Health Care Equipment & Services,Health Care Providers & Services
DVL,Dorsavi Ltd,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
DXB,Dimerix Limited,Trading,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
DXB1,Dimerix Bioscience Limited,Upcoming float,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
EBO,EBOS Group Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
EGX,EvoGenix Limited,Delisted,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology
EHE,Estia Health Limited,Trading,Health Care,Health Care Equipment & Services,Health Care Providers & Services
