ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
1AL,OneAll International Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
3PL,3P Learning Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AAD,Ardent Leisure Group,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AAU,Adcorp Australia Limited,Trading,Consumer Discretionary,Media,Media
ABF,Ausmani Limited,Delisted,Consumer Discretionary,Media,Media
ABS,A.B.C. Learning Centres Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ABV,Advanced Braking Technology Ltd,Trading,Consumer Discretionary,Automobiles & Components,Auto Components
ACO,Australian Careers Network Limited,Suspended,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ADG,Adtrans Group Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
ADH,Adairs Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
AEO,Austereo Group Limited,Delisted,Consumer Discretionary,Media,Media
AFJ,Affinity Education Group Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AGI,Ainsworth Game Technology Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AHG,Automotive Holdings Group Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
AHG2,Advance Healthcare Group Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
AHX,Apiam Animal Health Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
AIE,Autodom Limited,Delisted,Consumer Discretionary,Automobiles & Components,Auto Components
AIG,Aircruising Australia Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AKG,Academies Australasia Group Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AKP,Audio Pixel Holdings Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
ALH,Australian Leisure and Hospitality Group,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ALL,Aristocrat Leisure Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ALO,Auto Group Limited,Delisted,Consumer Discretionary,Retailing,Distributors
AMA,Ama Group Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
ANC,Angus & Coote (Holdings) Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
APB,Arafura Pearls Holdings Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
APE,AP Eagers Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
APN,APN News and Media Limited,Trading,Consumer Discretionary,Media,Media
APO,APN Outdoor Group Limited,Trading,Consumer Discretionary,Media,Media
AQS,Aquis Entertainment Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AQU,Aquaint Capital Holdings Limited,Suspended,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AQU1,Aqua Guardian Group Limited,Withdrawn Float,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ARB,ARB Corporation Limited,Trading,Consumer Discretionary,Automobiles & Components,Auto Components
ASP,Aspermont Limited,Trading,Consumer Discretionary,Media,Media
ATP,Atlas Pearls and Perfumes Ltd,Trading,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
AUN,Austar United Communications Limited,Delisted,Consumer Discretionary,Media,Media
AVR,Avatar Industries Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
BAE,Barron Entertainment Limited,Delisted,Consumer Discretionary,Media,Media
BAP,Bapcor Limited,Trading,Consumer Discretionary,Retailing,Distributors
BBG,Billabong International Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
BBL,Brisbane Broncos Limited,Trading,Consumer Discretionary,Media,Media
BBN,Baby Bunting Group Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
BCL,Betcorp Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
BDS,Bridgestone Australia Limited,Delisted,Consumer Discretionary,Automobiles & Components,Auto Components
BIR,Burswood Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
BKR,Broadcast Production Services Limited,Delisted,Consumer Discretionary,Media,Media
BLE,Blue Ensign Technologies Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
BLU,BlueFreeway Limited,Delisted,Consumer Discretionary,Media,Media
BLX,Beacon Lighting Group Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
BOP,Birch And Prestige Investment Group Limited,Suspended,Consumer Discretionary,Retailing,Distributors
BPG,Byte Power Group Limited,Trading,Consumer Discretionary,Retailing,Distributors
BRG,Breville Group Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
BRI,Breakwater Island Trust,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
BRT1,Blaico Aire-Tronic Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
BRZ,Brazin Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
BYI,Beyond International Limited,Trading,Consumer Discretionary,Media,Media
CAI,Casinos Austria International Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CBT,Canbet Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CCV,Cash Converters International,Trading,Consumer Discretionary,Retailing,Specialty Retail
CDO,Colorado Group Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
CFK,CFK Childcare Centres Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
CGW,Coats Group PLC,Delisted,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
CIK,China Integrated Media Corporation Limited,Trading,Consumer Discretionary,Media,Media
CIL,Centrebet International Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CKF,Collins Foods Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CLK,Cypress Lakes Group Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CM8,Crowd Mobile Limited,Trading,Consumer Discretionary,Media,Media
CMJ,Consolidated Media Holdings Limited,Delisted,Consumer Discretionary,Media,Media
CNC,Consolidated Capital Investments Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
COJ,Commstrat Limited,Delisted,Consumer Discretionary,Media,Media
CPR,CLIVPEE Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
CTD,Corporate Travel Management Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CTY,Country Road Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
CVB,Cheviot Bridge Limited,Delisted,Consumer Discretionary,Retailing,Internet & Catalog Retail
CWN,Crown Resorts Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CXH,Compass Hotel Group,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
DDT,DataDot Technology Limited,Trading,Consumer Discretionary,Automobiles & Components,Auto Components
DES,Destra Corporation Limited,Delisted,Consumer Discretionary,Media,Media
DHB,Dream Haven Bedding and Furniture Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
DIG,Asia Pacific Digital Limited,Trading,Consumer Discretionary,Media,Media
DJS,David Jones Limited,Delisted,Consumer Discretionary,Retailing,Multiline Retail
DKS,Danks Holdings Limited,Delisted,Consumer Discretionary,Retailing,Distributors
DLC,Delecta Limited,Trading,Consumer Discretionary,Retailing,Distributors
DMP,Domino's Pizza Enterprises Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
DNA,Donaco International Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
DSH,DSHE Holdings Limited,Suspended,Consumer Discretionary,Retailing,Specialty Retail
DTO,D2 Marketing Ltd,Delisted,Consumer Discretionary,Media,Media
DVI,Disruptive Investment Group Limited ,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
E88,Ensogo Limited,Suspended,Consumer Discretionary,Retailing,Internet & Catalog Retail
EBG,Eumundi Group Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ECP,ecorp Limited,Delisted,Consumer Discretionary,Retailing,Internet & Catalog Retail
EGG,Enero Group Limited,Trading,Consumer Discretionary,Media,Media
ELC,Electrotech Investments Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
ENN,Elanor Investor Group,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ESL,Earth Sanctuaries Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
EVO,Evolve Education Group Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
EVT,Event Hospitality and Entertainment Ltd,Trading,Consumer Discretionary,Media,Media
EVT1,Envitec Energy Limited,Upcoming float,Consumer Discretionary,Media,Media
FAN,Fantastic Holdings Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
FFL,Freedom Group Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
FLT,Flight Centre Travel Group Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
FOX,"Twenty-First Century Fox, Inc.",Delisted,Consumer Discretionary,Media,Media
FPA,Fisher & Paykel Appliances Holdings Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
FUN,Funtastic Limited,Trading,Consumer Discretionary,Retailing,Distributors
FWD,Fleetwood Corporation Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
FXJ,Fairfax Media Limited,Trading,Consumer Discretionary,Media,Media
GAP,Gale Pacific Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
GEM,G8 Education Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
GEM2,Gemstar Diamonds Limited,Withdrawn Float,Consumer Discretionary,Consumer Services,Diversified Consumer Services
GFY,Godfreys Group Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
GLB,Globe International Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
GLE,GLG Corp Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
GLG,Gerard Lighting Group Limited,Delisted,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
GLS,Gullivers Travel Group,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
GTN,GTN Limited,Trading,Consumer Discretionary,Media,Media
GTV,Global Television Limited,Delisted,Consumer Discretionary,Media,Media
GUD,GUD Holdings Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
GXL,Greencross Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
GZL,Gazal Corporation Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
HAM,Hamilton Island Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
HCC,Hutchisons Child Care Services Ltd,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
HII,Hire Intelligence International Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
HLO,Helloworld Limited ,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
HSL,Harris Scarfe Holdings Ltd,Delisted,Consumer Discretionary,Retailing,Multiline Retail
HT8,Harris Technology Group Limited,Trading,Consumer Discretionary,Retailing,Internet & Catalog Retail
HVN,Harvey Norman Holdings Ltd,Trading,Consumer Discretionary,Retailing,Multiline Retail
HWT,Harvey World Travel Group Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
HWW,HWW Limited,Delisted,Consumer Discretionary,Media,Media
IAS,International All Sports Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
IB8,iBosses Corporation Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ICH,Infochoice Limited,Delisted,Consumer Discretionary,Media,Media
ICQ,Icar Asia Limited,Trading,Consumer Discretionary,Media,Media
ICT,iCollege Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IDP,Indopac Holdings Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IDZ,Indoor Skydive Australia Group Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
IEL,IDP Education Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ION,ION Limited,Delisted,Consumer Discretionary,Automobiles & Components,Auto Components
IOR1,IOR Group Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IQE,Intueri Education Group Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ISU,iSelect Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ITG,ITG Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ITQ,Intecq Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
IVC,InvoCare Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
JBH,JB Hi-Fi Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
JEL1,Jacobsen Entertainment Limited,Delisted,Consumer Discretionary,Media,Media
JIN,Jumbo Interactive Limited,Trading,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
JST,Just Group Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
JUP,Jupiters Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
JYC,Joyce Corporation Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
KDS,Kids Campus Limited,Delisted,Consumer Discretionary,Consumer Services,Diversified Consumer Services
KFG,Kingform Health Hometextile Group Limited,Suspended,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
KGN,Kogan.com Ltd,Trading,Consumer Discretionary,Retailing,Internet & Catalog Retail
KMD,Kathmandu Holdings Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
KME,Kip McGrath Education Centres Limited,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
KRS,Kresta Holdings Limited,Trading,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
LAS,Lasseters Corporation Limited,Delisted,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
LDN,Linden & Conway Limited,Delisted,Consumer Discretionary,Retailing,Specialty Retail
LFC,Life Corporation Ltd,Trading,Consumer Discretionary,Consumer Services,Diversified Consumer Services
LFL,Legalfund Limited,Withdrawn Float,Consumer Discretionary,Consumer Services,Diversified Consumer Services
LOV,Lovisa Holdings Limited,Trading,Consumer Discretionary,Retailing,Specialty Retail
MCG,Macquarie Communications Infrastructure Group,Delisted,Consumer Discretionary,Media,Media
